Degrees/certificates total,Personal and Culinary Services,36198,10519,25679,2018
Degrees/certificates total,History,29930,17677,12253,2019
Degrees/certificates total,"Agriculture, Agriculture Operations and Related Sciences",28709,15324,13385,2011
Degrees/certificates total,Natural Resources and Conservation,19160,10670,8490,2011
Degrees/certificates total,Architecture and Related Services,18870,10659,8211,2011
Degrees/certificates total,"Area, Ethnic, Cultural, Gender, and Group Studies",12227,3895,8332,2011
Degrees/certificates total,"Communication, Journalism, and Related Programs",96860,34403,62457,2011
Degrees/certificates total,Communications Technologies/Technicians and Support Services,12238,8188,4050,2011
Degrees/certificates total,Computer and Information Sciences and Support Services,124601,95971,28630,2011
Degrees/certificates total,Personal and Culinary Services,45340,15278,30062,2011
Degrees/certificates total,Education,352588,76689,275899,2011
Degrees/certificates total,Engineering,128254,102692,25562,2011
Degrees/certificates total,Engineering Technologies and Engineering-related Fields,83182,72447,10735,2011
Degrees/certificates total,"Foreign Languages, Literatures, and Linguistics",30229,9209,21020,2011
Degrees/certificates total,Family and Consumer Sciences/Human Sciences,49551,5254,44297,2011
Degrees/certificates total,Legal Professions and Studies,73446,31136,42310,2011
Degrees/certificates total,English Language and Literature/Letters,67461,21851,45610,2011
Degrees/certificates total,"Liberal Arts and Sciences, General Studies and Humanities",383877,147187,236690,2011
Degrees/certificates total,Library Science,8548,1616,6932,2011
Degrees/certificates total,Biological and Biomedical Sciences,113137,46937,66200,2011
Degrees/certificates total,Mathematics and Statistics,26601,15614,10987,2011
Degrees/certificates total,Military Technologies and Applied Sciences,1040,841,199,2011
Degrees/certificates total,Multi/Interdisciplinary Studies,77806,27136,50670,2011
Degrees/certificates total,"Parks, Recreation, Leisure and Fitness Studies",46316,24761,21555,2011
Degrees/certificates total,Philosophy and Religious Studies,15996,10148,5848,2011
Degrees/certificates total,Theology and Religious Vocations,26840,17740,9100,2011
Degrees/certificates total,Physical Sciences,39449,24023,15426,2011
Degrees/certificates total,Science Technologies/Technicians,3195,1999,1196,2011
Degrees/certificates total,Psychology,137574,31046,106528,2011
Degrees/certificates total,"Homeland Security, Law Enforcement, Firefighting, and Related Protective Service",128928,72911,56017,2011
Degrees/certificates total,Public Administration and Social Service Professions,76364,16693,59671,2011
Degrees/certificates total,Social Sciences,176718,84376,92342,2011
Degrees/certificates total,Construction Trades,28421,26879,1542,2011
Degrees/certificates total,Mechanic and Repair Technologies/Technicians,76589,72745,3844,2011
Degrees/certificates total,Precision Production,26424,24949,1475,2011
Degrees/certificates total,Transportation and Materials Moving,22485,20260,2225,2011
Degrees/certificates total,Visual and Performing Arts,145389,57675,87714,2011
Degrees/certificates total,Health Professions and Related Programs,785803,143734,642069,2011
Degrees/certificates total,"Business, Management, Marketing, and Related Support Services",736595,351535,385060,2011
Degrees/certificates total,History,40787,24020,16767,2011
Degrees/certificates total,"Agriculture, Agriculture Operations and Related Sciences",29414,15717,13697,2012
Degrees/certificates total,Natural Resources and Conservation,22003,11984,10019,2012
